num;wilaya;commune;lat;lon;demandEnrg
5;BATNA;NGAOUS;35.556614;5.5932388;15716
5;BATNA;MDOUKAL;35.127083;5.1640606;2082
5;BATNA;BENI FOUDHALA EL HAKANIA;35.39283;6.0467429;340
5;BATNA;SEGGANA;35.32959;5.54073;1241
5;BATNA;OULED SELLAM;35.841187;5.793201;5029
5;BATNA;CHEMORA;35.625622;6.5996962;3816
5;BATNA;LEMCEN;35.531101;6.2375002;1895
5;BATNA;BITAM;35.140881;5.3520875;4149
5;BATNA;DJEZZAR;35.513893;5.3311653;4310
5;BATNA;THENIET EL ABED;35.25;6.1833329;4020
5;BATNA;DJERMA;35.685143;6.301343;1010
5;BATNA;AIN TOUTA;35.399109;5.9198389;24794
5;BATNA;KSAR BELEZMA;35.706562;5.8775964;3013
5;BATNA;GOSBAT;35.639198;5.4568133;5659
5;BATNA;TALKHEMT;35.712669;5.7510476;8358
5;BATNA;BARIKA;35.384594;5.2893434;32887
5;BATNA;OULED AOUF;35.450954;5.7510476;501
5;BATNA;BATNA;35.56102;6.1739116;137654
5;BATNA;ZANA EL BEIDA;35.803757;6.1102943;4434
5;BATNA;OULED SI SLIMANE;35.585903;5.6668305;4322
5;BATNA;BOUMAGUER;35.493061;5.551228;3897
5;BATNA;METKAOUAK;35.368748;5.183641;1633
5;BATNA;OUED TAGA;35.421288;6.3438783;4272
5;BATNA;TIGHANIMINE;35.195553;6.2694607;1295
5;BATNA;TILATOU;35.28194;5.6247668;1198
5;BATNA;OUED CHAABA;35.523838;6.0467429;2763
5;BATNA;INOUGHISSENE;35.268444;6.5463157;854
5;BATNA;KIMMEL;34.97665;6.4716582;463
5;BATNA;SERIANA;35.691742;6.1739116;3067
5;BATNA;TAZOULT;35.513027;6.2588367;8259
5;BATNA;FESDIS;35.612785;6.2269764;1931
5;BATNA;HIDOUSSA;35.530128;5.9198389;554
5;BATNA;TIMGAD;35.499508;6.5143089;2990
5;BATNA;OUED EL MA;35.656754;6.0044122;6419
5;BATNA;LARBAA;35.33445;6.1208925;34
5;BATNA;OULED FADEL;35.533768;6.6851983;2051
5;BATNA;GHASSIRA;35.077755;6.2163596;980
5;BATNA;GUIGBA;35.73196;5.5722299;3688
5;BATNA;RAHBAT;35.728043;5.656312;3779
5;BATNA;AIN YAGOUT;35.80888;6.4290361;2858
5;BATNA;RAS EL AIOUN;35.677021;5.5827336;10471
5;BATNA;BOULEHILET;35.753815;6.6424332;1397
5;BATNA;BOUMIA;35.717327;6.5143089;371
5;BATNA;TIGHARGHAR;35.095665;5.9572368;951
5;BATNA;CHIR;35.213562;6.1314926;1759
5;BATNA;TAXLENT;35.579903;5.793201;2451
5;BATNA;OULED AMMAR;35.477459;5.1640606;1248
5;BATNA;TKOUT;35.158825;6.3438783;2792
5;BATNA;EL HASSI;35.785248;5.9495659;2865
5;BATNA;MAAFA;35.269936;5.8775964;837
5;BATNA;FOUM TOUB;35.368538;6.5143089;1426
5;BATNA;AIN DJASSER;35.83083;6.0044122;9229
5;BATNA;SEFIANE;35.425587;5.5932388;3235
5;BATNA;ARRIS;35.300537;6.354517;13083
5;BATNA;ICHEMOUL;35.285667;6.4290361;3845
5;BATNA;MEROUANA;35.628773;5.9092755;18367
5;BATNA;LAZROU;35.772163;6.301343;1679
5;BATNA;EL MADHER;35.637115;6.3864427;5849
5;BATNA;OUYOUN EL ASSAFIR;35.552204;6.3438783;1898
5;BATNA;MENAA;35.128059;6.0891032;3221
5;BATNA;BOUZINA;35.269894;6.0996976;3732
34;BORDJ BOU ARRERIDJ;COLLA;36.237415;4.6657028;2926
34;BORDJ BOU ARRERIDJ;EL MAIN;36.371986;4.7380171;656
34;BORDJ BOU ARRERIDJ;EL EUCH;35.891777;4.6243749;6746
34;BORDJ BOU ARRERIDJ;KSOUR;35.99213;4.5956669;5398
34;BORDJ BOU ARRERIDJ;HASNAOUA;36.152069;4.7955346;5767
34;BORDJ BOU ARRERIDJ;EL ANSEUR;36.040539;4.8187308;6173
34;BORDJ BOU ARRERIDJ;EL HAMMADIA;35.983528;4.7795148;12204
34;BORDJ BOU ARRERIDJ;OULED BRAHEM;35.873383;5.0806918;3157
34;BORDJ BOU ARRERIDJ;EL MHIR;36.118435;4.3895593;10084
34;BORDJ BOU ARRERIDJ;AIN TAGHROUT;36.13213;5.1223607;5853
34;BORDJ BOU ARRERIDJ;SIDI EMBAREK;36.097466;4.9143238;4339
34;BORDJ BOU ARRERIDJ;GHILASSA;35.848083;4.9039426;4321
34;BORDJ BOU ARRERIDJ;OULED DAHMANE;36.221489;4.770164;4288
34;BORDJ BOU ARRERIDJ;OULED SIDI BRAHIM;36.228992;4.3340554;1247
34;BORDJ BOU ARRERIDJ;RAS EL OUED;35.947029;5.0356951;21065
34;BORDJ BOU ARRERIDJ;BORDJ GHDIR;35.912479;4.9247074;12606
34;BORDJ BOU ARRERIDJ;BORDJ ZEMOURA;36.261227;4.8831849;4339
34;BORDJ BOU ARRERIDJ;MEDJANA;36.134052;4.6714821;8276
34;BORDJ BOU ARRERIDJ;BORDJ BOU ARRERIDJ;36.070419;4.7564044;82587
34;BORDJ BOU ARRERIDJ;RABTA;35.896591;4.7795148;5171
34;BORDJ BOU ARRERIDJ;TIXTER;36.045387;5.1223607;5168
34;BORDJ BOU ARRERIDJ;TAGLAIT;35.801147;4.9870491;1573
34;BORDJ BOU ARRERIDJ;EL ACHIR;36.06559;4.6243749;10483
34;BORDJ BOU ARRERIDJ;BIR KASDALI;36.146339;5.0276623;5940
34;BORDJ BOU ARRERIDJ;HARAZA;36.166058;4.2538452;3102
34;BORDJ BOU ARRERIDJ;MANSOURA;36.137676;4.4387898;11644
34;BORDJ BOU ARRERIDJ;BEN DAOUD;36.067387;4.141995;7980
34;BORDJ BOU ARRERIDJ;TESMART;36.264576;4.8002334;1898
34;BORDJ BOU ARRERIDJ;THENIET EL ANSEUR;36.1035;5.04;1264
34;BORDJ BOU ARRERIDJ;TAFREG;36.306698;4.711308;402
34;BORDJ BOU ARRERIDJ;AIN TASSERA;36.036751;5.002327;4623
34;BORDJ BOU ARRERIDJ;DJAAFRA;36.292271;4.662837;2358
34;BORDJ BOU ARRERIDJ;BELIMOUR;35.967232;4.9143238;6246
34;BORDJ BOU ARRERIDJ;KHELIL;36.224049;4.9974461;9432
32;EL BAYADH;BREZINA;33.097805;1.2586654;12528
32;EL BAYADH;CHEGUIG;33.9445;1.42;1548
32;EL BAYADH;EL KHEITHER;34.136482;7.0005096E-2;3483
32;EL BAYADH;BOUSSEMGHOUN;32.870491;0.0233208;2012
32;EL BAYADH;SIDI AMEUR;33.768593;1.4362206;2435
32;EL BAYADH;EL BAYADH;33.658138;1.0203224;58153
32;EL BAYADH;BOUGTOUB;34.039047;9.1031604E-2;12764
32;EL BAYADH;TOUSMOULINE;33.647957;0.31132779;2678
32;EL BAYADH;SIDI SLIMANE;33.831879;1.7271179;643
32;EL BAYADH;EL ABIODH SIDI CHEIKH;32.903156;0.53996313;18585
32;EL BAYADH;AIN EL ORAK;33.408127;0.73902452;931
32;EL BAYADH;EL MEHARA;33.313007;0.36424369;2515
32;EL BAYADH;ROGASSA;34.01889;0.92713672;3574
32;EL BAYADH;KRAKDA;33.189301;1.398;1114
32;EL BAYADH;STITTEN;33.834816;1.2506002;1389
32;EL BAYADH;EL BNOUD;32.311932;0.24440379;3111
32;EL BAYADH;KEF EL AHMAR;33.844997;0.64107722;3687
32;EL BAYADH;GHASSOUL;33.379307;1.2001181;3351
32;EL BAYADH;HADJ MECHRI BOUALEM;33.728329;1.5329678;7385
32;EL BAYADH;ARBAOUAT;33.091602;0.58490241;2647
32;EL BAYADH;CHELLALA;33.03949;0.0606637;2893
32;EL BAYADH;SIDI TIFOUR;33.716667;1.683333;4030
40;KHENCHELA;REMILA;35.572159;6.8981085;4553
40;KHENCHELA;KAIS;35.492916;6.9262805;23059
40;KHENCHELA;TAMZA;35.316666;6.833333;3103
40;KHENCHELA;EL HAMMA;35.46463;7.0848064;4633
40;KHENCHELA;TAOUZIANAT;35.262527;6.2176867;5307
40;KHENCHELA;MTOUSSA;35.600773;7.245059;2135
40;KHENCHELA;BABAR;35.168808;7.1009488;15126
40;KHENCHELA;EL MAHMAL;35.448441;7.1250095;13062
40;KHENCHELA;CHERCHAR;35.037258;7.0095263;16912
40;KHENCHELA;AIN TOUILA;35.435944;7.381371;7344
40;KHENCHELA;BOUHMAMA;35.320282;6.7467227;3634
40;KHENCHELA;EL OUELDJA;34.915115;6.6831927;315
40;KHENCHELA;DJELLAL;34.919189;6.8927436;1324
40;KHENCHELA;YABOUS;35.411987;6.6437688;3936
40;KHENCHELA;OULED RECHACHE;35.29562;7.3524156;21519
40;KHENCHELA;BAGHAI;35.521542;7.1130581;2448
40;KHENCHELA;KHIRANE;34.998611;6.7607751;2637
40;KHENCHELA;CHELIA;35.363468;6.7801847;2132
40;KHENCHELA;MSARA;35.238213;6.5743351;1197
40;KHENCHELA;ENSIGHA;35.395142;7.1419954;3764
40;KHENCHELA;KHENCHELA;35.430996;7.1467071;59417
